player,team,format,total_runs,balls_faced,matches,strike_rate
MRJ Watt,Scotland,ODI,744,944,54,78.81
SE Rutherford,West Indies,ODI,743,745,20,99.73
C de Grandhomme,New Zealand,ODI,742,714,35,103.92
CO Obuya,Kenya,ODI,737,1040,32,70.87
SF Mire,Zimbabwe,ODI,729,944,35,77.22
Wahab Riaz,Pakistan,ODI,725,863,65,84.01
Sompal Kami,Nepal,ODI,723,977,49,74.0
HH Streak,Zimbabwe,ODI,722,1071,26,67.41
N Hussain,England,Test,721,1693,10,42.59
GO Jones,England,Test,715,1495,20,47.83
TG Southee,New Zealand,ODI,715,770,92,92.86
GO Jones,England,ODI,715,883,34,80.97
KAR Hodge,West Indies,Test,714,1484,13,48.11
Shadab Khan,Pakistan,ODI,714,866,39,82.45
JP Greaves,West Indies,Test,712,1375,14,51.78
DG Brownlie,New Zealand,Test,711,1588,14,44.77
